time,life-time,size,area,mass,radius
112,1,1,1,113,0.0
174,1,1,1,174,0.0
230,1,1,1,230,0.0
236,1,1,1,235,0.0
238,1,1,1,236,0.0
289,1,1,1,287,0.0
316,1,1,1,314,0.0
335,1,1,1,333,0.0
379,1,1,1,377,0.0
387,1,1,1,385,0.0
390,1,1,1,388,0.0
393,2,3,3,391,1.0
401,1,1,1,399,0.0
403,1,1,1,401,0.0
409,1,1,1,407,0.0
411,1,1,1,407,0.0
414,1,1,1,410,0.0
428,1,1,1,424,0.0
436,1,1,1,431,0.0
449,1,1,1,444,0.0
457,3,3,3,452,1.4142135623730951
459,1,1,1,454,0.0
503,1,1,1,498,0.0
528,1,1,1,522,0.0
541,1,1,1,535,0.0
544,1,1,1,538,0.0
552,1,1,1,546,0.0
557,1,1,1,551,0.0
559,1,1,1,552,0.0
564,2,2,2,557,1.0
567,2,2,2,560,1.0
569,1,1,1,562,0.0
572,1,1,1,564,0.0
585,1,1,1,577,0.0
594,1,1,1,585,0.0
597,4,5,5,587,2.23606797749979
604,2,2,2,594,1.0
605,3,4,4,595,1.4142135623730951
610,3,4,4,600,1.4142135623730951
611,1,1,1,600,0.0
620,1,1,1,609,0.0
630,1,1,1,619,0.0
634,1,1,1,623,0.0
642,1,1,1,631,0.0
643,2,2,2,632,1.0
645,1,1,1,634,0.0
646,1,1,1,635,0.0
647,2,2,2,636,1.0
651,2,2,2,640,1.0
658,1,1,1,647,0.0
660,2,2,2,648,1.0
673,3,4,4,659,1.4142135623730951
682,5,6,6,668,2.8284271247461903
688,2,3,3,674,1.0
707,3,4,4,693,2.0
708,2,2,2,694,1.0
709,3,4,4,695,1.4142135623730951
712,3,4,4,698,1.4142135623730951
719,4,4,4,705,2.23606797749979
720,4,4,4,706,2.23606797749979
723,2,2,2,708,1.0
733,12,27,15,713,4.0
734,1,1,1,714,0.0
736,8,13,13,716,4.123105625617661
737,3,3,3,717,2.0
741,10,18,18,718,4.242640687119285
744,4,5,5,721,2.23606797749979
748,2,2,2,723,1.0
752,2,3,3,726,1.0
754,1,1,1,728,0.0
755,1,1,1,728,0.0
759,10,16,16,726,4.242640687119285
766,2,2,2,733,1.0
767,10,25,25,731,5.385164807134504
777,2,2,2,741,1.0
779,3,4,4,743,1.4142135623730951
787,6,10,10,749,2.8284271247461903
793,7,16,16,755,4.47213595499958
795,5,9,9,757,2.23606797749979
801,5,6,6,760,2.23606797749979
802,5,12,12,761,2.8284271247461903
803,2,2,2,760,1.0
804,1,1,1,760,0.0
805,5,5,5,759,1.4142135623730951
806,1,1,1,760,0.0
807,3,3,3,760,1.4142135623730951
809,13,29,23,760,6.324555320336759
810,2,3,3,760,1.0
811,3,3,3,761,1.4142135623730951
812,6,11,11,758,2.8284271247461903
813,5,5,5,759,2.8284271247461903
814,4,6,6,757,1.4142135623730951
815,2,3,3,758,1.0
820,21,45,45,761,9.486832980505138
821,9,12,12,761,2.8284271247461903
822,2,2,2,762,1.0
825,1,1,1,765,0.0
826,1,1,1,766,0.0
827,10,19,19,767,4.47213595499958
840,6,11,11,779,4.0
846,6,7,7,785,3.1622776601683795
847,6,6,6,784,3.605551275463989
848,1,1,1,785,0.0
851,25,58,58,783,10.816653826391969
852,11,36,24,782,5.830951894845301
854,1,1,1,784,0.0
855,6,8,8,785,2.23606797749979
856,4,5,5,786,2.23606797749979
861,12,31,27,791,5.0990195135927845
864,10,26,26,792,5.830951894845301
865,5,5,5,790,2.23606797749979
868,20,51,51,790,10.44030650891055
869,8,11,11,790,5.0
871,2,2,2,790,1.0
875,17,40,40,794,6.4031242374328485
876,24,59,45,789,5.0990195135927845
879,2,2,2,792,1.0
880,1,1,1,792,0.0
882,8,14,14,794,4.242640687119285
886,9,15,15,796,3.0
887,1,1,1,797,0.0
895,3,4,4,803,2.0
900,18,38,32,808,6.4031242374328485
901,2,2,2,809,1.0
903,13,26,26,811,5.0
911,8,12,12,815,3.605551275463989
915,3,3,3,818,1.4142135623730951
918,9,15,15,821,3.1622776601683795
921,17,41,23,824,5.830951894845301
922,25,118,82,824,10.0
926,1,1,1,828,0.0
928,18,89,89,827,8.602325267042627
929,23,82,70,827,7.211102550927978
930,18,51,51,828,8.246211251235321
934,2,2,2,830,1.0
942,2,2,2,835,1.0
944,27,79,79,833,9.848857801796104
945,9,17,17,834,4.47213595499958
953,19,62,62,836,9.219544457292887
954,16,48,48,836,12.36931687685298
